station_name,line_name,prev_station_name,next_station_name,latitude,longitude
Лобня,МЦД-1,,Шереметьевская,56.013572,37.484647
Шереметьевская,МЦД-1,Лобня,Хлебниково,55.983877,37.498678
Хлебниково,МЦД-1,Шереметьевская,Водники,55.970941,37.504466
Водники,МЦД-1,Хлебниково,Долгопрудная,55.952478,37.512469
Долгопрудная,МЦД-1,Водники,Новодачная,55.938911,37.520482
Новодачная,МЦД-1,Долгопрудная,Марк,55.924474,37.527789
Марк,МЦД-1,Новодачная,Лианозово,55.904553,37.538054
Лианозово,МЦД-1,Марк,Бескудниково,55.898567,37.549822
Бескудниково,МЦД-1,Лианозово,Дегунино,55.879818,37.567929
Дегунино,МЦД-1,Бескудниково,Окружная,55.8656,37.573056
Окружная,МЦД-1,Дегунино,Тимирязевская,55.847908,37.574237
Тимирязевская,МЦД-1,Окружная,Савёловская,55.819312,37.575798
Савёловская,МЦД-1,Тимирязевская,Белорусская,55.79507,37.589218
Белорусская,МЦД-1,Савёловская,Беговая,55.776879,37.580318
Беговая,МЦД-1,Белорусская,Тестовская (Москва-Сити),55.77329,37.550397
Тестовская (Москва-Сити),МЦД-1,Беговая,Фили,55.753775,37.531411
Фили,МЦД-1,Тестовская (Москва-Сити),Славянский бульвар,55.744191,37.51472
Славянский бульвар,МЦД-1,Фили,Кунцевская,55.730431,37.472512
Кунцевская,МЦД-1,Славянский бульвар,Рабочий посёлок,55.726898,37.449064
Рабочий посёлок,МЦД-1,Кунцевская,Сетунь,55.726822,37.418391
Сетунь,МЦД-1,Рабочий посёлок,Немчиновка,55.723629,37.397248
Немчиновка,МЦД-1,Сетунь,Сколково,55.714272,37.370907
Сколково,МЦД-1,Немчиновка,Баковка,55.696372,37.337605
Баковка,МЦД-1,Сколково,Одинцово,55.682523,37.314601
Одинцово,МЦД-1,Баковка,,55.672419,37.282651
Нахабино,МЦД-2,,Аникеевка,55.841667,37.184831
Аникеевка,МЦД-2,Нахабино,Опалиха,55.832005,37.21991
Опалиха,МЦД-2,Аникеевка,Красногорская,55.82341,37.246466
Красногорская,МЦД-2,Опалиха,Павшино,55.814738,37.303322
Павшино,МЦД-2,Красногорская,Пенягино,55.814958,37.339891
Пенягино,МЦД-2,Павшино,Волоколамская,55.822871,37.361018
Волоколамская,МЦД-2,Пенягино,Трикотажная,55.832296,37.383902
Трикотажная,МЦД-2,Волоколамская,Тушинская,55.833079,37.399032
Тушинская,МЦД-2,Трикотажная,Щукинская,55.827283,37.440529
Щукинская,МЦД-2,Тушинская,Стрешнево,55.81125,37.460331
Стрешнево,МЦД-2,Щукинская,Красный Балтиец,55.815369,37.487877
Красный Балтиец,МЦД-2,Стрешнево,Гражданская,55.815559,37.526197
Гражданская,МЦД-2,Красный Балтиец,Дмитровская,55.805419,37.554045
Дмитровская,МЦД-2,Гражданская,Марьина Роща,55.808688,37.583252
Марьина Роща,МЦД-2,Дмитровская,Рижская,55.800821,37.619137
Рижская,МЦД-2,Марьина Роща,Площадь трёх вокзалов,55.794038,37.638741
Площадь трёх вокзалов,МЦД-2,Рижская,Курская,55.776122,37.651446
Курская,МЦД-2,Площадь трёх вокзалов,Москва-Товарная,55.758462,37.662306
Москва-Товарная,МЦД-2,Курская,Калитники,55.745297,37.689102
Калитники,МЦД-2,Москва-Товарная,Новохохловская,55.733909,37.702455
Новохохловская,МЦД-2,Калитники,Текстильщики,55.724417,37.713625
Текстильщики,МЦД-2,Новохохловская,Печатники,55.708101,37.729593
Печатники,МЦД-2,Текстильщики,Люблино,55.693024,37.732101
Люблино,МЦД-2,Печатники,Депо,55.685123,37.734066
Депо,МЦД-2,Люблино,Перерва,55.674019,37.728027
Перерва,МЦД-2,Депо,Курьяново,55.661325,37.717035
Курьяново,МЦД-2,Перерва,Москворечье,55.649425,37.700874
Москворечье,МЦД-2,Курьяново,Царицыно,55.641173,37.690119
Царицыно,МЦД-2,Москворечье,Покровское,55.618848,37.669586
Покровское,МЦД-2,Царицыно,Красный Строитель,55.602506,37.631691
Красный Строитель,МЦД-2,Покровское,Битца,55.589724,37.615151
Битца,МЦД-2,Красный Строитель,Бутово,55.571288,37.611674
Бутово,МЦД-2,Битца,Щербинка,55.5411,37.570634
Щербинка,МЦД-2,Бутово,Остафьево,55.510322,37.562323
Остафьево,МЦД-2,Щербинка,Силикатная,55.490312,37.556388
Силикатная,МЦД-2,Остафьево,Подольск,55.470427,37.555356
Подольск,МЦД-2,Силикатная,,55.432363,37.565744
Зеленоград-Крюково,МЦД-3,,Фирсановская,55.980454,37.172383
Фирсановская,МЦД-3,Зеленоград-Крюково,Сходня,55.960528,37.251122
Сходня,МЦД-3,Фирсановская,Подрезково,55.949438,37.298962
Подрезково,МЦД-3,Сходня,Новоподрезково,55.942453,37.332697
Новоподрезково,МЦД-3,Подрезково,Молжаниново,55.936555,37.352689
Молжаниново,МЦД-3,Новоподрезково,Химки,55.924644,37.381207
Химки,МЦД-3,Молжаниново,Левобережная,55.894299,37.4526
Левобережная,МЦД-3,Химки,Ховрино,55.886904,37.469711
Ховрино,МЦД-3,Левобережная,Грачёвская,55.880328,37.485564
Грачёвская,МЦД-3,Ховрино,Моссельмаш,55.869855,37.507448
Моссельмаш,МЦД-3,Грачёвская,Лихоборы,55.86163,37.525199
Лихоборы,МЦД-3,Моссельмаш,Петровско-Разумовская,55.850201,37.55231
Петровско-Разумовская,МЦД-3,Лихоборы,Останкино,55.839461,37.568569
Останкино,МЦД-3,Петровско-Разумовская,Митьково,55.817918,37.603096
Митьково,МЦД-3,Останкино,Электрозаводская,55.785341,37.672495
Электрозаводская,МЦД-3,Митьково,Сортировочная,55.781079,37.705043
Сортировочная,МЦД-3,Электрозаводская,Авиамоторная,55.762849,37.721192
Авиамоторная,МЦД-3,Сортировочная,Андроновка,55.751078,37.721122
Андроновка,МЦД-3,Авиамоторная,Перово,55.745753,37.738649
Перово,МЦД-3,Андроновка,Плющево,55.736305,37.762698
Плющево,МЦД-3,Перово,Вешняки,55.730581,37.777364
Вешняки,МЦД-3,Плющево,Выхино,55.722627,37.797186
Выхино,МЦД-3,Вешняки,Косино,55.716063,37.816051
Косино,МЦД-3,Выхино,Ухтомская,55.705625,37.847683
Ухтомская,МЦД-3,Косино,Люберцы,55.698606,37.865022
Люберцы,МЦД-3,Ухтомская,Панки,55.681781,37.897077
Панки,МЦД-3,Люберцы,Томилино,55.668695,37.924869
Томилино,МЦД-3,Панки,Красково,55.655609,37.95234
Красково,МЦД-3,Томилино,Малаховка,55.650254,37.981848
Малаховка,МЦД-3,Красково,Удельная,55.64523,38.009449
Удельная,МЦД-3,Малаховка,Быково,55.634352,38.044489
Быково,МЦД-3,Удельная,Ильинская,55.626346,38.073039
Ильинская,МЦД-3,Быково,Отдых,55.615747,38.102483
Отдых,МЦД-3,Ильинская,Кратово,55.601295,38.135526
Кратово,МЦД-3,Отдых,Есенинская,55.591362,38.162373
Есенинская,МЦД-3,Кратово,Фабричная,55.581782,38.185544
Фабричная,МЦД-3,Есенинская,Раменское,55.572605,38.206801
Раменское,МЦД-3,Фабричная,Ипподром,55.565605,38.226271
Ипподром,МЦД-3,Раменское,,55.559615,38.240749
Железнодорожная,МЦД-4,,Ольгино,55.752544,38.010007
Ольгино,МЦД-4,Железнодорожная,Кучино,55.751804,37.980836
Кучино,МЦД-4,Ольгино,Салтыковская,55.752099,37.955134
Салтыковская,МЦД-4,Кучино,Никольское,55.757793,37.922254
Никольское,МЦД-4,Салтыковская,Реутов,55.759653,37.897518
Реутов,МЦД-4,Никольское,Новогиреево,55.75157,37.855701
Новогиреево,МЦД-4,Реутов,Кусково,55.744471,37.81938
Кусково,МЦД-4,Новогиреево,Чухлинка,55.739541,37.794706
Чухлинка,МЦД-4,Кусково,Нижегородская,55.733406,37.763127
Нижегородская,МЦД-4,Чухлинка,Серп и Молот,55.733366,37.729584
Серп и Молот,МЦД-4,Нижегородская,Курская,55.748184,37.682253
Курская,МЦД-4,Серп и Молот,Площадь трёх вокзалов,55.758293,37.662377
Площадь трёх вокзалов,МЦД-4,Курская,Марьина Роща,55.77607,37.65168
Марьина Роща,МЦД-4,Площадь трёх вокзалов,Савёловская,55.800826,37.619103
Савёловская,МЦД-4,Марьина Роща,Белорусская,55.794325,37.590278
Белорусская,МЦД-4,Савёловская,Москва-Сити,55.776942,37.580414
Москва-Сити,МЦД-4,Белорусская,Кутузовская,55.74782,37.531973
Кутузовская,МЦД-4,Москва-Сити,Поклонная,55.740081,37.533772
Поклонная,МЦД-4,Кутузовская,Минская,55.728294,37.511704
Минская,МЦД-4,Поклонная,Матвеевская,55.723645,37.500681
Матвеевская,МЦД-4,Минская,Аминьевская,55.70457,37.481624
Аминьевская,МЦД-4,Матвеевская,Очаково,55.69791,37.469579
Очаково,МЦД-4,Аминьевская,Мещерская,55.683236,37.450691
Мещерская,МЦД-4,Очаково,Солнечная,55.666736,37.424606
Солнечная,МЦД-4,Мещерская,Переделкино,55.657377,37.385526
Переделкино,МЦД-4,Солнечная,Мичуринец,55.656276,37.354897
Мичуринец,МЦД-4,Переделкино,Внуково,55.646211,37.316119
Внуково,МЦД-4,Мичуринец,Лесной Городок,55.649031,37.269534
Лесной Городок,МЦД-4,Внуково,Толстопальцево,55.631931,37.218274
Толстопальцево,МЦД-4,Лесной Городок,Кокошкино,55.607552,37.18589
Кокошкино,МЦД-4,Толстопальцево,Санино,55.599827,37.171349
Санино,МЦД-4,Кокошкино,Крёкшино,55.584007,37.138015
Крёкшино,МЦД-4,Санино,Победа,55.577949,37.109853
Победа,МЦД-4,Крёкшино,Апрелевка,55.566207,37.092795
Апрелевка,МЦД-4,Победа,,55.55016,37.066903
Новопеределкино,МЦД-4А,,Солнечная,55.638766,37.382211
Солнечная,МЦД-4А,Новопеределкино,,55.657377,37.385526
