station_name,line_name,prev_station_name,next_station_name,latitude,longitude
Бульвар Рокоссовского,Сокольническая линия,,Черкизовская,55.814789,37.733928
Черкизовская,Сокольническая линия,Бульвар Рокоссовского,Преображенская площадь,55.803671,37.744927
Преображенская площадь,Сокольническая линия,Черкизовская,Сокольники,55.796167,37.715022
Сокольники,Сокольническая линия,Преображенская площадь,Красносельская,55.788991,37.67988
Красносельская,Сокольническая линия,Сокольники,Комсомольская,55.779818,37.666225
Комсомольская,Сокольническая линия,Красносельская,Красные Ворота,55.775712,37.656165
Красные Ворота,Сокольническая линия,Комсомольская,Чистые пруды,55.768659,37.64922
Чистые пруды,Сокольническая линия,Красные Ворота,Лубянка,55.764926,37.638387
Лубянка,Сокольническая линия,Чистые пруды,Охотный Ряд,55.759456,37.626789
Охотный Ряд,Сокольническая линия,Лубянка,Библиотека им. Ленина,55.756964,37.615524
Библиотека им. Ленина,Сокольническая линия,Охотный Ряд,Кропоткинская,55.752257,37.611024
Кропоткинская,Сокольническая линия,Библиотека им. Ленина,Парк культуры,55.744998,37.601586
Парк культуры,Сокольническая линия,Кропоткинская,Фрунзенская,55.735819,37.594683
Фрунзенская,Сокольническая линия,Парк культуры,Спортивная,55.727313,37.580463
Спортивная,Сокольническая линия,Фрунзенская,Воробьёвы горы,55.723247,37.564105
Воробьёвы горы,Сокольническая линия,Спортивная,Университет,55.710438,37.559317
Университет,Сокольническая линия,Воробьёвы горы,Проспект Вернадского,55.691707,37.534935
Проспект Вернадского,Сокольническая линия,Университет,Юго-Западная,55.67691,37.505831
Юго-Западная,Сокольническая линия,Проспект Вернадского,Тропарёво,55.663629,37.483095
Тропарёво,Сокольническая линия,Юго-Западная,Румянцево,55.644627,37.471919
Румянцево,Сокольническая линия,Тропарёво,Саларьево,55.633028,37.441395
Саларьево,Сокольническая линия,Румянцево,Филатов Луг,55.621811,37.424048
Филатов Луг,Сокольническая линия,Саларьево,Прокшино ,55.601177,37.407995
Прокшино ,Сокольническая линия,Филатов Луг,Ольховая,55.586456,37.43322
Ольховая,Сокольническая линия,Прокшино ,Новомосковская,55.56898,37.459047
Новомосковская,Сокольническая линия,Ольховая,Потапово,55.55968,37.469441
Потапово,Сокольническая линия,Новомосковская,,55.553329,37.493208
Ховрино,Замоскворецкая линия,,Беломорская,55.878273,37.480768
Беломорская,Замоскворецкая линия,Ховрино,Речной вокзал,55.865369,37.475692
Речной вокзал,Замоскворецкая линия,Беломорская,Водный стадион,55.854891,37.476231
Водный стадион,Замоскворецкая линия,Речной вокзал,Войковская,55.839881,37.486769
Войковская,Замоскворецкая линия,Водный стадион,Сокол,55.818923,37.497791
Сокол,Замоскворецкая линия,Войковская,Аэропорт,55.805042,37.514787
Аэропорт,Замоскворецкая линия,Сокол,Динамо,55.800979,37.531765
Динамо,Замоскворецкая линия,Аэропорт,Белорусская,55.789704,37.558212
Белорусская,Замоскворецкая линия,Динамо,Маяковская,55.777388,37.582206
Маяковская,Замоскворецкая линия,Белорусская,Тверская,55.76996,37.595914
Тверская,Замоскворецкая линия,Маяковская,Театральная,55.764455,37.605939
Театральная,Замоскворецкая линия,Тверская,Новокузнецкая,55.757967,37.619001
Новокузнецкая,Замоскворецкая линия,Театральная,Павелецкая,55.74185,37.629295
Павелецкая,Замоскворецкая линия,Новокузнецкая,Автозаводская,55.729797,37.638952
Автозаводская,Замоскворецкая линия,Павелецкая,Технопарк,55.707553,37.657654
Технопарк,Замоскворецкая линия,Автозаводская,Коломенская,55.693931,37.66442
Коломенская,Замоскворецкая линия,Технопарк,Каширская,55.678407,37.663827
Каширская,Замоскворецкая линия,Коломенская,Кантемировская,55.655107,37.648798
Кантемировская,Замоскворецкая линия,Каширская,Царицыно,55.636107,37.656218
Царицыно,Замоскворецкая линия,Кантемировская,Орехово,55.621653,37.669028
Орехово,Замоскворецкая линия,Царицыно,Домодедовская,55.612884,37.695331
Домодедовская,Замоскворецкая линия,Орехово,Красногвардейская,55.610814,37.718552
Красногвардейская,Замоскворецкая линия,Домодедовская,Алма-Атинская,55.613605,37.744055
Алма-Атинская,Замоскворецкая линия,Красногвардейская,,55.63282,37.765911
Пятницкое шоссе,Арбатско-Покровская линия,,Митино,55.855967,37.354132
Митино,Арбатско-Покровская линия,Пятницкое шоссе,Волоколамская,55.845734,37.362154
Волоколамская,Арбатско-Покровская линия,Митино,Мякинино,55.835508,37.382034
Мякинино,Арбатско-Покровская линия,Волоколамская,Строгино,55.82489,37.385331
Строгино,Арбатско-Покровская линия,Мякинино,Крылатское,55.803691,37.403118
Крылатское,Арбатско-Покровская линия,Строгино,Молодёжная,55.756842,37.408139
Молодёжная,Арбатско-Покровская линия,Крылатское,Кунцевская,55.740867,37.416619
Кунцевская,Арбатско-Покровская линия,Молодёжная,Славянский бульвар,55.730603,37.445437
Славянский бульвар,Арбатско-Покровская линия,Кунцевская,Парк Победы,55.729574,37.470572
Парк Победы,Арбатско-Покровская линия,Славянский бульвар,Киевская,55.736934,37.516009
Киевская,Арбатско-Покровская линия,Парк Победы,Смоленская,55.743923,37.568102
Смоленская,Арбатско-Покровская линия,Киевская,Арбатская,55.747748,37.583832
Арбатская,Арбатско-Покровская линия,Смоленская,Площадь Революции ,55.752536,37.604196
Площадь Революции ,Арбатско-Покровская линия,Арбатская,Курская,55.756802,37.62272
Курская,Арбатско-Покровская линия,Площадь Революции ,Бауманская,55.758524,37.65876
Бауманская,Арбатско-Покровская линия,Курская,Электрозаводская,55.772406,37.679035
Электрозаводская,Арбатско-Покровская линия,Бауманская,Семёновская,55.782066,37.705284
Семёновская,Арбатско-Покровская линия,Электрозаводская,Партизанская,55.783195,37.719423
Партизанская,Арбатско-Покровская линия,Семёновская,Измайловская,55.788478,37.749665
Измайловская,Арбатско-Покровская линия,Партизанская,Первомайская,55.787802,37.779903
Первомайская,Арбатско-Покровская линия,Измайловская,Щёлковская,55.79579,37.798935
Щёлковская,Арбатско-Покровская линия,Первомайская,,55.810383,37.798293
Кунцевская,Филёвская линия,,Пионерская,55.730675,37.445477
Пионерская,Филёвская линия,Кунцевская,Филёвский парк,55.736059,37.467458
Филёвский парк,Филёвская линия,Пионерская,Багратионовская,55.73944,37.48302
Багратионовская,Филёвская линия,Филёвский парк,Фили,55.74366,37.497393
Фили,Филёвская линия,Багратионовская,Кутузовская,55.746725,37.514093
Кутузовская,Филёвская линия,Фили,Студенческая,55.73948,37.534731
Студенческая,Филёвская линия,Кутузовская,Киевская,55.738902,37.548298
Киевская,Филёвская линия,Студенческая,Смоленская,55.743113,37.564751
Смоленская,Филёвская линия,Киевская,Арбатская,55.747952,37.583806
Арбатская,Филёвская линия,Смоленская,Александровский сад,55.752386,37.603279
Александровский сад,Филёвская линия,Арбатская,,55.752308,37.609498
Медведково,Калужско-Рижская линия,,Бабушкинская,55.886008,37.661087
Бабушкинская,Калужско-Рижская линия,Медведково,Свиблово,55.868448,37.663208
Свиблово,Калужско-Рижская линия,Бабушкинская,Ботанический сад,55.854369,37.651411
Ботанический сад,Калужско-Рижская линия,Свиблово,ВДНХ,55.84592,37.638406
ВДНХ,Калужско-Рижская линия,Ботанический сад,Алексеевская,55.822422,37.641568
Алексеевская,Калужско-Рижская линия,ВДНХ,Рижская,55.807893,37.638795
Рижская,Калужско-Рижская линия,Алексеевская,Проспект Мира,55.792608,37.635978
Проспект Мира,Калужско-Рижская линия,Рижская,Сухаревская,55.779724,37.633533
Сухаревская,Калужско-Рижская линия,Проспект Мира,Тургеневская,55.772245,37.632071
Тургеневская,Калужско-Рижская линия,Сухаревская,Китай-город,55.765484,37.636496
Китай-город,Калужско-Рижская линия,Тургеневская,Третьяковская,55.756731,37.630883
Третьяковская,Калужско-Рижская линия,Китай-город,Октябрьская,55.740683,37.625617
Октябрьская,Калужско-Рижская линия,Третьяковская,Шаболовская,55.731328,37.612624
Шаболовская,Калужско-Рижская линия,Октябрьская,Ленинский проспект,55.718744,37.60774
Ленинский проспект,Калужско-Рижская линия,Шаболовская,Академическая,55.708419,37.587532
Академическая,Калужско-Рижская линия,Ленинский проспект,Профсоюзная,55.686993,37.572165
Профсоюзная,Калужско-Рижская линия,Академическая,Новые Черёмушки,55.677298,37.561834
Новые Черёмушки,Калужско-Рижская линия,Профсоюзная,Калужская,55.671235,37.555321
Калужская,Калужско-Рижская линия,Новые Черёмушки,Беляево,55.655313,37.539222
Беляево,Калужско-Рижская линия,Калужская,Коньково,55.641868,37.525412
Коньково,Калужско-Рижская линия,Беляево,Тёплый Стан,55.634333,37.51896
Тёплый Стан,Калужско-Рижская линия,Коньково,Ясенево,55.619857,37.505166
Ясенево,Калужско-Рижская линия,Тёплый Стан,Новоясеневская,55.605517,37.534881
Новоясеневская,Калужско-Рижская линия,Ясенево,,55.601509,37.552851
Новослободская,Кольцевая линия,Проспект Мира,Белорусская,55.779503,37.601021
Белорусская,Кольцевая линия,Новослободская,Краснопресненская,55.775317,37.58278
Краснопресненская,Кольцевая линия,Белорусская,Киевская,55.760329,37.57697
Киевская,Кольцевая линия,Краснопресненская,Парк культуры,55.742989,37.564488
Парк культуры,Кольцевая линия,Киевская,Октябрьская,55.735108,37.593387
Октябрьская,Кольцевая линия,Парк культуры,Добрынинская,55.729349,37.611311
Добрынинская,Кольцевая линия,Октябрьская,Павелецкая,55.729083,37.622869
Павелецкая,Кольцевая линия,Добрынинская,Таганская,55.731524,37.635997
Таганская,Кольцевая линия,Павелецкая,Курская,55.742499,37.653242
Курская,Кольцевая линия,Таганская,Комсомольская,55.755992,37.658759
Комсомольская,Кольцевая линия,Курская,Проспект Мира,55.774508,37.655979
Проспект Мира,Кольцевая линия,Комсомольская,Новослободская,55.781762,37.633345
Алтуфьево,Серпуховско-Тимирязевская линия,,Бибирево,55.899293,37.586432
Бибирево,Серпуховско-Тимирязевская линия,Алтуфьево,Отрадное,55.88404,37.604711
Отрадное,Серпуховско-Тимирязевская линия,Бибирево,Владыкино,55.862542,37.604393
Владыкино,Серпуховско-Тимирязевская линия,Отрадное,Петровско-Разумовская,55.848399,37.590437
Петровско-Разумовская,Серпуховско-Тимирязевская линия,Владыкино,Тимирязевская,55.836665,37.575827
Тимирязевская,Серпуховско-Тимирязевская линия,Петровско-Разумовская,Дмитровская,55.818659,37.574511
Дмитровская,Серпуховско-Тимирязевская линия,Тимирязевская,Савёловская,55.807873,37.580249
Савёловская,Серпуховско-Тимирязевская линия,Дмитровская,Менделеевская,55.794244,37.588822
Менделеевская,Серпуховско-Тимирязевская линия,Савёловская,Цветной бульвар,55.781511,37.598608
Цветной бульвар,Серпуховско-Тимирязевская линия,Менделеевская,Чеховская,55.77174,37.620712
Чеховская,Серпуховско-Тимирязевская линия,Цветной бульвар,Боровицкая,55.766051,37.608183
Боровицкая,Серпуховско-Тимирязевская линия,Чеховская,Полянка,55.750526,37.609171
Полянка,Серпуховско-Тимирязевская линия,Боровицкая,Серпуховская,55.7368,37.618621
Серпуховская,Серпуховско-Тимирязевская линия,Полянка,Тульская,55.726855,37.62484
